state,horizon,mean,count,t_stat,p_val_raw,p_val_adj
bear_accel,ret_fwd_1,0.00047581948127277743,266,0.9442532024668209,0.34504027387171,0.4313003423396375
bear_accel,ret_fwd_3,0.0021907379755099453,264,1.7730950884026093,0.07621295172789884,0.1693621149508863
bear_accel,ret_fwd_6,0.005063455018604999,264,2.6285213404368197,0.008575697453117372,0.04287848726558686
bear_accel,ret_fwd_12,0.007007914005755939,264,2.386427177150252,0.01701297643063726,0.05670992143545754
bear_accel,ret_fwd_24,0.011609653104400002,264,2.917215333199842,0.003531718609541016,0.02354479073027344
bear_decel,ret_fwd_1,0.00013909848663441719,237,0.2977968080776221,0.7658582508760516,0.8509536120845018
bear_decel,ret_fwd_3,0.00022440772942763416,237,0.1865274724110225,0.8520311370139987,0.8968748810673671
bear_decel,ret_fwd_6,0.00067532657012323,237,0.3316915255620357,0.7401222003833733,0.8509536120845018
bear_decel,ret_fwd_12,0.003908606236733503,237,1.1506821742073434,0.24986301265557864,0.41643835442596444
bear_decel,ret_fwd_24,0.010749189715169302,233,2.2860301738650812,0.022252493379814612,0.06357855251375603
bull_accel,ret_fwd_1,0.0014842123006990231,258,3.133892327373772,0.001725041420427114,0.01725041420427114
bull_accel,ret_fwd_3,0.003747211092146836,258,3.6670796769977048,0.00024533636669410566,0.0049067273338821125
bull_accel,ret_fwd_6,0.0040105427907000946,258,2.2323981156224764,0.025588662252056218,0.06397165563014054
bull_accel,ret_fwd_12,0.005137258184406648,257,1.5711032159454383,0.11615867573754889,0.2172557539091582
bull_accel,ret_fwd_24,0.013235083946907478,250,2.408359385906364,0.01602439790693952,0.05670992143545754
bull_decel,ret_fwd_1,-0.0006028087746678229,212,-0.9600815738121485,0.33701416136479434,0.4313003423396375
bull_decel,ret_fwd_3,-0.001650694380613762,212,-0.9785914979826354,0.3277818618239601,0.4313003423396375
bull_decel,ret_fwd_6,0.00017755766365919317,209,0.06134616906421442,0.9510835224194927,0.9510835224194927
bull_decel,ret_fwd_12,0.006089389481625913,204,1.55691501252117,0.11949066465003702,0.2172557539091582
bull_decel,ret_fwd_24,0.0059766976531434955,203,0.9946058053767998,0.31992802289446387,0.4313003423396375
