,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,-0.10675660364028827,-0.11589779916826269,-0.08993278034937499,-0.04437896156231525,-0.0328144841890307
A_macd,-0.039332462616227616,-0.03577509068455707,-0.020566655665502188,-0.0014285102099178602,0.0020196124826468522
A_signal,-0.007501811805951137,-0.0007859794738403538,0.007033261953218173,0.012736528675430668,0.012685991277531271
A_hist_slope,-0.1257754416946208,-0.22995976753310937,-0.18631677065038,-0.1289656884957478,-0.09430390419746644
B_gap,-0.006484801830032064,-0.005425130934002629,-0.003899610599753719,-0.004024767685734423,-0.010066819819228702
B_gap_norm,-0.006081863425257557,-0.004568174284847251,-0.00343794104720568,-0.003980319770715007,-0.010153217777913334
B_roc,-0.0008275989622492035,0.0021717957833473356,0.0004993939977298486,0.004627632651749723,0.0035003881801358794
B_zroc,0.002839412326164018,0.001730233344706637,0.0010293348606315899,0.0025195910366564225,-0.007705704579499589
B_gap_acc,-0.035987223719175454,-0.0304000524217466,-0.01206379552192647,0.006400719668599272,0.012582907882575923
B_roc_slope,-0.00028365798421198566,0.00048235752953637595,-0.0007754803025542248,0.00016906038011496304,-8.63495797087896e-05
