peak_idx,confirm_idx,div_type,price_direction,indicator_direction
88,93,bearish,higher_high,lower_high
178,183,bearish,higher_high,lower_high
195,200,bearish,higher_high,lower_high
248,253,bearish,higher_high,lower_high
358,363,bearish,higher_high,lower_high
375,380,bearish,higher_high,lower_high
385,390,bearish,higher_high,lower_high
405,410,bearish,higher_high,lower_high
513,518,bearish,higher_high,lower_high
525,530,bearish,higher_high,lower_high
563,568,bearish,higher_high,lower_high
650,655,bearish,higher_high,lower_high
660,665,bearish,higher_high,lower_high
751,756,bearish,higher_high,lower_high
853,858,bearish,higher_high,lower_high
872,877,bearish,higher_high,lower_high
50,55,bullish,lower_low,higher_low
327,332,bullish,lower_low,higher_low
430,435,bullish,lower_low,higher_low
724,729,bullish,lower_low,higher_low
735,740,bullish,lower_low,higher_low
771,776,bullish,lower_low,higher_low
781,786,bullish,lower_low,higher_low
914,919,bullish,lower_low,higher_low
