confirmed,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
True,-0.0015240759762499279,-0.0005139242251952503,0.014236274671074245,0.03348612644960536,-0.010793384137723905
True,-0.0011252696120778172,0.008050635481121393,0.028553829796359675,0.08457427226021408,0.0019798921002764924
True,0.0021393706298771242,0.01709461336630347,0.04995366967321124,0.029206117340246918,-0.0038624866814717107
True,0.007031827776578403,0.014757783278606551,0.04159531291723062,0.017731939225519522,-0.013325728049898067
True,0.007836384350258907,0.02033944882684624,0.026739587269082765,0.007596971576078193,-0.015635366222978564
True,-0.00016309897578015153,0.032306784319851234,0.010505666579034845,-0.01635790691998229,-0.04446647232002743
True,0.012570996779964316,0.026447227191413347,0.01897965223613607,-0.034324127370304214,-0.04577034991055462
True,0.01965707416818585,0.006272558068390888,0.05446525095817867,-0.030457900945150884,-0.07067361445637654
True,-0.005838351264790265,-0.021118836059166646,-0.019760445562728268,-0.03526000270524854,-0.09569727980584308
True,-0.0073309370773670945,-0.00727516696178343,-0.022910408097820856,-0.04231002049551735,-0.09609190915048171
True,-0.008098655201107752,0.04789228574641524,-0.018644080670854324,-0.045850205531669075,-0.08972547955366883
False,-0.009611480329239419,-0.004941519412894446,-0.04960864182450986,-0.07018687136743718,-0.020898195243241657
False,-0.004209150771121162,-0.012984221378185556,-0.04398494525497376,-0.05040702006623898,-0.01252095681456944
False,0.008962155589403276,-0.03271730027505182,-0.060433180444110834,-0.03896140801054382,-0.018221187893257884
False,-0.017616436669954272,-0.04488894198988269,-0.06954344454885064,-0.03917661715702825,-0.03070361097920815
False,-0.024117666742414445,-0.03140853930428045,-0.050801490282816,-0.01955971800475287,-0.015038801156921688
False,0.004870195493616114,-0.006267490194065584,-0.005331887419046222,0.02919346351502372,0.09292764456245095
False,-0.0011376722676120776,-0.01490673655002317,0.003940212733158699,0.015356916910744589,0.09133037767843377
True,-0.009957361820074229,-0.015500884502497314,0.008040595072434487,0.027390507806204667,0.1005769486553465
True,-0.0038658789418715145,0.0009415036398496834,0.02856078938753881,0.05513870711290547,0.11792806347523821
True,-0.0017401248767664468,0.019132147160540125,0.03968832762155139,0.07399960565231667,0.12448236858989392
True,0.0065776102059811326,0.02391213887788557,0.04805323507970338,0.08680429664246136,0.11155032325094671
True,0.014237397452474765,0.02759330654913761,0.03471042300178295,0.07736944099943499,0.08979714106335379
True,0.0029419705199313917,0.0201702797014931,0.011371896486250588,0.06826808337690649,0.08242222210811789
True,0.01019645680092185,0.023577312237233805,0.019195568936764884,0.06336463979919094,0.07827959653236327
True,0.006910849699397481,0.0069260050715451715,0.025839909512001435,0.0541501446840944,0.061373098055354625
True,0.006291466180617933,-0.008624426127976204,0.03300150354602671,0.055271511745041524,0.058585868170074384
True,-0.0062371738577302605,-0.004280813230308822,0.03697432560266001,0.048428540905522066,0.037381091047493875
True,-0.008639347448594181,0.018783807693110832,0.04122797746049045,0.06192633679362358,0.0682808507725936
True,0.010700431568218871,0.04198805253131699,0.05625644442793676,0.07482438884529463,0.06660163463012547
True,0.01678213035706233,0.041432503642727436,0.04333718886602278,0.07123527061333013,0.05318229258986662
True,0.01394029617261272,0.022030355800610302,0.027597127884759765,0.059508153704396216,0.043248280521649196
True,0.010161564063845274,0.01369343138048218,0.021558543838094746,0.04700445202390502,0.028770944257137776
True,-0.002160774869543025,0.0018289089466989594,0.011045804143902105,0.02276953328665976,0.01714712913360006
True,0.0056693641325449295,0.005446777634886102,0.01987879674883075,0.011535226071003324,0.029213899610899263
True,-0.001661620508101036,0.007758866945503984,0.01757901172135723,0.013249613043262443,0.025090720349321582
True,0.0014426860170468903,0.009200069108500353,0.026739276664363043,0.01402619212163092,0.032688297627274876
True,0.007981965295080995,0.014353836955838695,0.03105402394936929,0.006851920865053707,0.03895837718755746
True,0.005692234059632373,-0.0007310020243324056,-0.0052576696342713225,0.01876723184651019,0.027143298590079024
True,0.0005752641876930475,-0.008774861038060244,-0.011168543741551074,0.01785566054965715,0.017777044033763012
True,-0.00695814188329924,-0.012225115623884286,-0.004495721552808862,0.014277915153217524,0.021163137596146964
True,-0.0024033303563204544,-0.004529979033782827,0.0031772302049182244,0.030190747987827615,0.03384529083873877
True,-0.002907536296303137,-0.002414872877414709,0.008869458960534704,0.02312358769480194,0.038060032644472
True,0.0007780264064247699,0.007825056288971455,0.017773790997207994,0.03745277339054742,0.03843231938001024
True,-0.00028370564327517833,0.007742281612077351,0.024151884108469135,0.03599659365131247,0.04039966090593672
True,0.0073273358194363425,0.011311648029975752,0.02935202365126033,0.039281656873433546,0.04954903996165405
True,0.0006958305161146594,0.00987148974532337,0.018858418906355645,0.031355645706558466,0.048067387874690004
True,0.0032572331796891785,0.016283530815181635,0.02692796145043208,0.0310720020257933,0.04952607464438641
True,0.005892851394320386,0.01783859175005742,0.01412881380010611,0.0317877689907069,0.03945970028216994
True,0.007049611991145177,0.00889908196467526,0.01933532044881825,0.019725875724240227,0.031406268139897664
True,0.004792361993296801,0.010473878905340905,0.011565383735200774,0.00822176693726906,0.026388424026596802
True,-0.0029417409083987156,-0.003644760554394777,0.00964648924179623,-7.72373912543145e-05,0.02557608733812944
True,0.008621522082463473,0.01034418473631682,0.01226591111021813,0.006788299676119047,0.029553153253573772
True,-0.009246893634219044,0.0010801910397151282,0.0040353761226914475,0.003547442896423947,0.02696206952052549
True,-0.00024769964185067384,-0.003536826033638363,-0.012476346714528241,-0.03517740979266315,-0.062448734295436514
True,0.0003655490343412726,0.006531142746897922,-0.01648219979285548,-0.03200787961251794,-0.057417599155175636
False,-0.002746735342103901,-0.023596953620802386,-0.03092934033913075,-0.04563643635424841,-0.05268102953904363
False,-0.007940364509838593,-0.02144662322312607,-0.02544863483872073,-0.0440030301551364,-0.04447198273575481
False,-0.013071070604315116,-0.01525706866643417,-0.019374530769740717,-0.037012241161359594,-0.02255727550206299
False,-0.0005504865520903346,-0.00750959016926378,-0.006766216596952757,-0.04087904466743242,-0.006878914631239019
False,-0.0016653800449304423,-0.004089722349920555,-0.006572613172115216,-0.039667704637909806,0.004679544449166961
False,-0.005306393737456339,-0.004181255810316475,-0.011079784877103815,-0.040796024223046734,0.014607244324352564
False,0.013636957224483215,0.0046519792855261866,-0.0075335090224420975,-0.040043843780841026,0.03801221545964251
False,-0.0028807792465621596,-0.003087756054599766,-0.014503160620339184,-0.03504455281393426,0.027012585457133698
False,-0.006000605779475143,-0.0046937318769207925,-0.015434667954477677,-0.011092542346315293,0.036158256710702164
False,0.005828002540028798,-0.012129064152776703,-0.023535754316131308,-0.001321155968854848,0.03714579169205989
True,-0.004487088498181135,-0.011450761724584257,-0.05775378637814843,0.010029214801883901,0.03424635768323858
True,-0.013426175189347633,-0.010791588902390625,-0.04034662472893347,0.026645924797245257,0.02804621379305927
True,0.00651863483996773,-0.011546741329698018,-0.03275711074776633,0.04117180118810859,0.037056131011186544
True,-0.0038232722409862196,-0.04683937113172287,-0.02084369160080235,0.0415780856207244,0.06812668232550956
True,-0.014179316398182484,-0.029877461104226843,0.004410195511496573,0.04317473840011021,0.05811346895222358
True,-0.029419017503889866,-0.02145814102186394,0.02275003764394712,0.04711931058111363,0.07741341346583996
True,0.013904128069071042,0.027273136073387994,0.07193767425128161,0.09330425397967446,0.12578918967533048
True,-0.005623758160658521,0.035343634686346714,0.06980911155265401,0.07886788603462946,0.1093661297189894
True,0.018915808816970303,0.045177606108722346,0.07643262386041272,0.08131210861536808,0.11217239656741174
True,0.000532726398354999,0.0051344875047676375,0.00846765500887181,0.0013639454090177416,0.03628136245294589
True,0.0069113969681839915,-0.005900377267802015,0.004533014558269377,-0.003952921287558309,0.029155902138265244
True,-0.0022962159759843948,0.0004958674285056031,0.0005267305464624616,0.025488820349905517,0.01877712096490458
True,-0.010451617959129744,0.0033161408204973597,0.008845104464622722,0.014320448916376849,0.026223909622788977
True,0.013390075297030402,0.010495318162777378,0.014348742166545359,0.0289308988752337,0.03105247033863856
True,0.0005161868802159297,3.084782152673604e-05,0.003964973326916921,0.02971262169465594,0.015539075963788784
True,-0.003370955110799545,0.00551068942198385,-0.0070440629053112325,0.028268747340747913,0.008754205985911812
