flip_idx,confirmed,bars_to_confirm
52,True,15.0
130,True,1.0
279,True,3.0
306,True,4.0
321,False,
347,True,3.0
424,True,5.0
479,False,
598,True,9.0
732,True,5.0
756,True,4.0
864,False,
935,False,
1141,False,
1333,True,2.0
1381,True,2.0
1560,False,
1652,False,
1760,True,1.0
1763,True,1.0
1781,True,1.0
1804,True,1.0
1883,False,
1976,False,
2000,False,
2086,False,
2146,False,
2158,True,14.0
2169,True,3.0
2207,True,15.0
2231,True,8.0
2351,False,
2369,False,
2432,True,15.0
2473,False,
2507,True,9.0
2656,True,19.0
2698,False,
2701,False,
2857,True,20.0
2959,True,2.0
3035,True,3.0
3179,True,2.0
3231,True,5.0
3269,True,14.0
3322,True,3.0
3374,True,1.0
3479,True,8.0
3495,False,
3568,True,1.0
3661,True,12.0
3728,True,18.0
3803,True,2.0
3857,True,18.0
3883,False,
4032,False,
4109,True,3.0
4156,False,
4335,True,1.0
4427,False,
4522,True,6.0
4585,True,6.0
4594,False,
4690,True,2.0
4870,True,5.0
4914,False,
4927,False,
4931,True,17.0
4947,True,1.0
4983,True,3.0
5103,True,19.0
5196,False,
5211,False,
5252,False,
5309,False,
5388,True,1.0
5479,True,3.0
5635,True,11.0
5671,False,
5682,False,
5799,False,
5868,True,16.0
5930,True,1.0
5963,False,
6154,False,
6201,True,12.0
6262,True,13.0
6292,False,
6393,False,
6483,True,3.0
6567,True,7.0
6639,False,
6731,True,1.0
6745,True,1.0
6836,True,2.0
6961,True,2.0
6986,True,6.0
7108,True,11.0
7156,True,20.0
7289,True,9.0
7314,False,
7344,True,18.0
7520,False,
7634,False,
7710,True,1.0
7735,True,8.0
7771,False,
7828,False,
7857,True,20.0
7898,True,4.0
7973,False,
8103,True,2.0
8192,True,1.0
8291,True,19.0
8378,True,6.0
8516,True,17.0
8655,True,12.0
8659,True,8.0
8693,False,
8770,False,
8819,False,
8869,True,5.0
8873,True,1.0
9020,True,17.0
9090,True,18.0
9135,False,
9212,True,18.0
9326,True,19.0
9446,True,5.0
9544,True,9.0
9579,True,8.0
9677,True,17.0
9685,True,9.0
9747,False,
9758,False,
9812,True,10.0
9830,True,1.0
9904,False,
9923,True,5.0
9953,True,3.0
9983,False,
10047,True,2.0
10127,True,4.0
10228,True,17.0
10380,False,
10419,True,13.0
10554,True,5.0
10583,True,3.0
10609,True,6.0
10779,True,7.0
10853,False,
10962,False,
11025,True,1.0
11034,True,1.0
11104,True,1.0
11108,True,1.0
11224,True,4.0
11309,False,
11516,False,
11543,True,10.0
11560,True,9.0
11633,True,17.0
11657,True,5.0
11705,True,9.0
11734,True,13.0
11764,True,3.0
11855,True,4.0
11884,True,2.0
11933,True,3.0
12075,True,7.0
12159,True,10.0
12226,True,7.0
12276,False,
12339,False,
12582,True,2.0
12611,True,6.0
12655,True,12.0
12710,False,
12821,True,16.0
12826,True,11.0
12856,True,19.0
12943,False,
13030,True,9.0
13067,True,19.0
13082,True,4.0
13186,False,
13296,False,
13336,True,1.0
13437,True,1.0
13559,False,
13563,False,
13635,False,
13709,True,1.0
13751,True,4.0
13811,True,13.0
14061,True,18.0
14087,False,
14135,True,14.0
14205,False,
14317,True,15.0
14359,False,
14378,True,10.0
14409,False,
14462,True,5.0
14529,True,7.0
14561,True,11.0
14575,True,16.0
14779,False,
14809,True,1.0
14884,True,8.0
14906,False,
15086,True,6.0
15137,True,2.0
15198,True,11.0
15202,True,7.0
15249,True,2.0
15339,True,12.0
15380,False,
15441,False,
15483,True,12.0
15589,True,2.0
15625,True,6.0
15683,True,1.0
15778,True,17.0
15862,True,2.0
15928,True,11.0
16034,False,
16182,True,10.0
16240,False,
16260,True,1.0
16310,True,1.0
16349,True,2.0
16534,True,18.0
16612,False,
16715,False,
16774,True,5.0
16806,True,11.0
16880,False,
16898,True,19.0
16956,False,
16959,False,
17018,True,1.0
17096,False,
17132,True,12.0
17193,True,18.0
17283,True,2.0
17592,True,20.0
17624,False,
17669,True,16.0
17735,False,
17812,True,7.0
17904,True,1.0
17914,True,5.0
17934,True,1.0
18114,False,
18175,True,11.0
18210,False,
18382,True,2.0
18510,True,2.0
18557,True,2.0
18589,False,
18610,True,4.0
18833,False,
18908,True,10.0
18995,True,16.0
19059,False,
19190,True,15.0
19263,False,
19306,True,3.0
19339,True,14.0
19383,True,20.0
19536,False,
19585,True,7.0
19631,True,13.0
19659,True,17.0
19719,True,1.0
19759,True,1.0
19822,True,3.0
19853,True,6.0
19907,True,7.0
19940,False,
19948,True,13.0
19978,True,15.0
20067,True,19.0
20130,True,11.0
20197,True,1.0
20258,True,17.0
20335,False,
20362,True,1.0
20480,True,17.0
20530,True,16.0
20583,False,
20669,True,2.0
20767,True,15.0
20773,True,9.0
20809,True,1.0
20895,True,19.0
21000,True,14.0
21037,False,
21134,True,3.0
21174,True,2.0
21234,False,
21243,False,
21333,True,14.0
21411,False,
21490,True,1.0
21745,True,17.0
21751,True,11.0
21811,False,
21953,False,
21979,False,
22037,False,
22061,True,7.0
22112,True,11.0
22227,False,
22273,True,5.0
22276,True,2.0
22351,True,4.0
22427,True,1.0
22444,True,13.0
22530,True,12.0
22541,True,1.0
22667,False,
22862,True,10.0
22880,False,
22912,True,9.0
22927,False,
22957,True,1.0
23026,True,20.0
23234,True,4.0
23273,True,4.0
23341,False,
23376,True,9.0
23448,False,
23520,True,7.0
23627,True,1.0
23651,True,2.0
23747,True,4.0
23936,False,
24027,True,19.0
24139,False,
24171,True,10.0
24177,True,4.0
24280,False,
24320,False,
24418,False,
24506,True,20.0
24626,False,
24679,False,
24747,False,
24810,True,11.0
24913,True,2.0
24985,True,20.0
25004,True,1.0
25066,True,14.0
25229,False,
25253,False,
25276,False,
25311,True,6.0
25350,False,
25356,False,
25498,True,12.0
25603,False,
25626,False,
25680,True,17.0
25750,False,
25835,False,
25945,False,
25976,True,1.0
26060,True,20.0
26152,False,
26220,False,
26243,False,
26299,True,4.0
26476,False,
26598,True,1.0
26623,False,
26652,True,9.0
26864,False,
26941,False,
27028,False,
27076,True,16.0
27276,False,
27303,True,1.0
27376,True,1.0
27402,True,1.0
27472,True,1.0
27526,True,14.0
27579,True,3.0
27607,True,9.0
27615,True,1.0
27707,True,6.0
27752,False,
27874,True,11.0
27921,True,10.0
27923,True,8.0
27966,False,
28076,True,11.0
28156,False,
28202,True,8.0
28252,True,13.0
28292,True,1.0
28328,True,3.0
28451,False,
28480,True,1.0
28525,False,
28680,False,
28712,True,20.0
28782,False,
28944,False,
28989,True,12.0
29039,True,16.0
29125,True,9.0
29163,False,
29204,True,2.0
29387,False,
29484,False,
29544,True,13.0
29576,False,
29598,True,1.0
29752,True,3.0
30031,False,
30158,True,3.0
30225,False,
30252,True,7.0
30408,True,1.0
30455,True,2.0
30554,True,5.0
30625,False,
