,cross_correlation
-20,-0.01477935413403771
-19,-0.02001198854017426
-18,-0.0219217027920253
-17,-0.02375336915273024
-16,-0.024200624176327706
-15,-0.024477537801952158
-14,-0.022324905074238795
-13,-0.020759966603002337
-12,-0.014864035405820986
-11,-0.005879660074354491
-10,-0.010458523947443791
-9,-0.014193482910275787
-8,-0.016562976316153277
-7,-0.015785529397694377
-6,-0.018109099356554147
-5,-0.01750188183366375
-4,-0.018603043649335915
-3,-0.01855630270652793
-2,-0.014870674931811937
-1,-0.00984202277432267
0,-0.0013253426412689036
1,0.0056697624862741165
2,0.012165897205306695
3,0.01812020210076956
4,0.020723788057161907
5,0.027045900084053092
6,0.032758414582790565
7,0.033399147500917825
8,0.031880270471535105
9,0.031362907523755056
10,0.02760621060705332
11,0.028095091803739546
12,0.024559097626658654
13,0.02059940731446586
14,0.016681326000473395
15,0.013042428807043278
16,0.010529752703016652
17,0.009185181977514553
18,0.005652879300618232
19,0.0029780117142746134
20,0.0015321240078564056
