feature,direction,midpoint,effect_size,n_before,mean_ret_before,hit_rate_before,t_stat_before,n_after,mean_ret_after,hit_rate_after,t_stat_after
B_roc_slope_1d,<,-156.18054777634603,-2.598398474682712,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
B_zroc_extreme_1d,>,0.3,2.569046515733026,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
B_roc_invalid_1d,>,0.3,2.569046515733026,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
A_hist_slope_1d,<,-2.4430635826645997,-2.060996124631178,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
B_zroc_1d,<,-1.7891391211920438,-2.003198451910462,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
A_signal_1d,>,45.273720347471,1.9908052185763054,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
B_gap_acc_1d,>,-18.918693784759597,1.5905108239351153,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
A_macd_1d,>,17.810282150702513,1.4748043515618383,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,3,,,
A_macd_zero_cross_1d,<,0.21052631578947367,-0.917662935482247,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,16,-0.001601230456294074,0.3125,
A_state_1h_ord,>,-0.48075838035180884,0.5959644031324713,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,538,0.0008900740492986735,0.7063197026022305,2.4326228335225926
B_gap_1d,<,172.21726874061062,-0.5938800861417469,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,9,-0.0023532502937809482,0.3333333333333333,
B_gap_norm_1d,<,0.009212082738169626,-0.5453084348813408,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,9,-0.0023532502937809482,0.3333333333333333,
A_macd_15m,>,3.260970664799228,0.519820799349855,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,276,0.0008082696963130913,0.6920289855072463,2.2249601476155867
